FileName,ItemTitle
uclalsc_uars100_010_016,"UCLA medical center with cars parked in front after construction recently ended, 1962"
uclalsc_uars100_010_017,"UCLA medical center with dirt surrounding the place, 1962"
uclalsc_uars100_010_018,"UCLA medical center with cars parked in the parking lot, 1962"
uclalsc_uars100_011_004,"UCLA Medical Center cornerstone laying ceremony, ca. November 1951"
uclalsc_uars100_011_005,"Earl Warren and Stafford Warren at UCLA Medical Center cornerstone laying ceremony, ca. November 1951"
uclalsc_uars100_011_006,"Robert G Sproul,  Governor Earl Warren, Dean Stafford Warren, Regent Edward A Dickson (with wrench)  at UCLA Medical School dedication, November 2, 1951"
uclalsc_uars100_011_007,"Inaugural ceremony at UCLA Medical School, November 2, 1951"
uclalsc_uars100_011_008,"Guests at UCLA Medical School construction ceremony, November 2, 1951"
uclalsc_uars100_012_001,Exterior view of UCLA Medical Center
uclalsc_uars100_012_002,UCLA Medical Center during construction
uclalsc_uars100_012_004,"Exterior view of UCLA Medical Center, ca. 1970"
uclalsc_uars100_012_005,View of parking lot from UCLA Medical Center
uclalsc_uars100_012_006,View of garden at UCLA Medical Center
uclalsc_uars100_012_007,Exterior view of UCLA Medical Center
uclalsc_uars100_012_009,Four aerial views of UCLA Medical Center
uclalsc_uars100_012_010,View of UCLA Medical Center
uclalsc_uars100_012_011,View of UCLA Medical Center
uclalsc_uars100_012_012,Exterior view of UCLA Medical Center
uclalsc_uars100_012_013,Exterior view of UCLA Medical Center
uclalsc_uars100_012_014,Medical professionals and students gathered in quad of UCLA Medical Center
uclalsc_uars100_012_015,View of UCLA Medical Center entrance
uclalsc_uars100_012_016,View of UCLA Medical Center through trees
uclalsc_uars100_012_017,Students walking down stairs outside of UCLA Medical Center
uclalsc_uars100_012_018,View of UCLA Medical Center through trees
uclalsc_uars100_012_019,Cars parked on street beside UCLA Medical Center
uclalsc_uars100_012_020,View of UCLA Medical Center through trees
uclalsc_uars100_012_021,Aerial view of UCLA Medical Center
uclalsc_uars100_012_022,View of street beside UCLA Medical Center
uclalsc_uars100_012_023,Students walking outside of UCLA Medical Center
uclalsc_uars100_012_024,Cars parked on street beside UCLA Medical Center
uclalsc_uars100_012_025,View of Dental School Center
uclalsc_uars100_012_026,"Exterior view of UCLA Medical Center, ca. 1980"
uclalsc_uars100_014_001,"View of reconverted Religious Conference Building, September 15, 1951"
uclalsc_uars100_014_002,"View of reconverted Westwood Women's Club, September 15, 1951"
uclalsc_uars100_014_003,Students and faculty standing outside of UCLA School of Medicine
uclalsc_uars100_014_004,Students and faculty standing stairs outside of UCLA School of Medicine
uclalsc_uars100_014_005,"UCLA School of Medicine temporary library building, September 3, 1951"
uclalsc_uars100_014_006,"UCLA School of Medicine temporary surgery building, September 3, 1951"
uclalsc_uars100_014_007,"UCLA School of Medicine temporary buildings, ca. 1952"
uclalsc_uars100_014_008,"UCLA School of Medicine dedication year, ca. 1951"
uclalsc_uars100_015_001,"UCLA Medical Center during construction, September 13, 1952"
uclalsc_uars100_015_002,"UCLA Medical Center during construction, September 13, 1952"
uclalsc_uars100_015_003,"UCLA Medical Center during construction, September 20, 1952"
uclalsc_uars100_015_004,"UCLA Medical Center during construction, September 20, 1952"
uclalsc_uars100_015_005,"UCLA Medical Center during construction, October 5, 1952"
uclalsc_uars100_015_006,"UCLA Medical Center during construction, October 5, 1952"
uclalsc_uars100_015_007,"UCLA Medical Center during construction, September 5, 1952"
uclalsc_uars100_015_008,"UCLA Medical Center during construction, September 5, 1952"
uclalsc_uars100_015_009,"UCLA School of Medicine looking southwest from northeast corner, September 15, 1951"
uclalsc_uars100_015_010,"UCLA School of Medicine looking east, September 15, 1951"
uclalsc_uars100_015_011,"UCLA Medical Center during constuction, July 6, 1952"
uclalsc_uars100_015_012,"UCLA Medical Center during construction, June 22, 1952"
uclalsc_uars100_015_013,"Looking north at UCLA Medical Center during construction, March 16, 1952"
uclalsc_uars100_015_014,"Looking northeast at UCLA Medical Center during construction, March 16, 1952"
uclalsc_uars100_015_015,"Looking east at UCLA Medical Center during construction, March 16, 1952"
uclalsc_uars100_015_016,"Looking east at UCLA Medical Center during construction, February 24, 1952"
uclalsc_uars100_015_017,"UCLA Medical Center during construction, September 13, 1952"
uclalsc_uars100_015_018,"UCLA Medical Center during construction, September 13, 1952"
uclalsc_uars100_015_019,"UCLA Medical Center during construction, May 10, 1952"
uclalsc_uars100_015_020,"UCLA Medical Center during construction, May 10, 1952"
uclalsc_uars100_015_021,"UCLA Medical Center during construction, May 10, 1952"
uclalsc_uars100_015_022,"UCLA Medical Center during construction, May 10, 1952"
uclalsc_uars100_015_023,"UCLA Medical Center during construction, July 6, 1952"
uclalsc_uars100_015_024,"UCLA Medical Center during construction, July 6, 1952"
uclalsc_uars100_015_025,"UCLA Medical Center during construction, December 14, 1952"
uclalsc_uars100_015_026,"UCLA Medical Center during construction, December 14, 1952"
uclalsc_uars100_015_027,"Looking east at UCLA Medical Center during construction, April 12, 1952"
uclalsc_uars100_015_028,"Looking north at UCLA Medical Center during construction, April 12, 1952"
uclalsc_uars100_015_029,"Looking south at UCLA Medical Center during construction, May 4, 1952"
uclalsc_uars100_015_030,"Looking east from the southwest corner at UCLA Medical Center during construction, November 30, 1952"
uclalsc_uars100_015_031,"Looking southeast  from northwest corner at UCLA Medical Center, November 30, 1952"
uclalsc_uars100_015_032,"Looking north from southeast corner at UCLA Medical Center during construction, October 20, 1951"
uclalsc_uars100_015_033,"Looking south from northeast corner at UCLA Medical Center during construction, October 20, 1951"
uclalsc_uars100_015_034,"Looking east at UCLA Medical Center during construction, October 20, 1951"
uclalsc_uars100_015_035,"Back view of UCLA Medical Center classroom building, October 7, 1951"
uclalsc_uars100_015_036,"UCLA Medical Center during construction, October 12, 1952"
uclalsc_uars100_015_037,"UCLA Medical Center during construction, October 12, 1952"
uclalsc_uars100_015_038,"Looking southwest from northeast corner at UCLA Medical Center during construction, December 25, 1951"
uclalsc_uars100_015_039,"Looking north from southeast corner at UCLA Medical Center during construction,December 25, 1951"
uclalsc_uars100_015_040,"Looking east at UCLA Medical Center during construction, ca. March 1952"
uclalsc_uars100_015_041,"Looking northeast at UCLA Medical Center during construction, March 16, 1952"
uclalsc_uars100_015_042,"UCLA Medical Center during construction, September 13, 1952"
uclalsc_uars100_015_043,"UCLA Medical Center during construction, September 13, 1952"
uclalsc_uars100_015_044,"Looking south at UCLA Medical Center during construction, November 22, 1951"
uclalsc_uars100_015_045,"Looking west at UCLA Medical Center during construction, November 22, 1951"
uclalsc_uars100_015_046,"Looking southeast at UCLA Medical Center during construction, November 8, 1952"
uclalsc_uars100_015_047,"Looking east at UCLA Medical Center during construction, November 8, 1952"
uclalsc_uars100_015_048,"UCLA Medical Center during construction, September 5, 1952"
uclalsc_uars100_015_049,"UCLA Medical Center during construction, September 5, 1952"
uclalsc_uars100_015_050,"Looking northwest at UCLA Medical Center during construction, March 29, 1952"
uclalsc_uars100_015_051,"Looking northwest at UCLA Medical Center during construction, March 16, 1952"
uclalsc_uars100_015_052,"Looking east from northwest corner at UCLA Medical Center during construction, November 30, 1952"
uclalsc_uars100_015_053,"Looking east from west corner at UCLA Medical Center during construction, November 30, 1952"
uclalsc_uars100_015_054,"Looking down on northeast wing from north at UCLA Medical Center during construction, November 7, 1951"
uclalsc_uars100_015_055,"Looking east at UCLA Medical Center during construction, November 7, 1951"
uclalsc_uars100_015_056,"UCLA Medical Center during construction, September 20, 1952"
uclalsc_uars100_015_057,"UCLA Medical Center during construction, September 20, 1952"
uclalsc_uars100_015_058,"UCLA Medical Center during construction, September 5, 1952"
uclalsc_uars100_015_059,"UCLA Medical Center during construction, September 5, 1952"
uclalsc_uars100_015_060,"UCLA Medical Center during construction, September 13, 1952"
uclalsc_uars100_015_061,"UCLA Medical Center during construction, September 13, 1952"
uclalsc_uars100_015_062,"UCLA Medical Center during construction, September 27, 1952"
uclalsc_uars100_015_063,"UCLA Medical Center during construction, September 27, 1952"
uclalsc_uars100_015_064,"UCLA Medical Center during construction, September 20, 1952"
uclalsc_uars100_015_065,"UCLA Medical Center during construction, September 27, 1952"
uclalsc_uars100_015_066,"UCLA Medical Center during construction, September 20, 1952"
uclalsc_uars100_015_067,"UCLA Medical Center during construction, September 20, 1952"
uclalsc_uars100_015_068,"Looking southeast at UCLA Medical Center during construction, May 24, 1952"
uclalsc_uars100_015_069,"Looking south at UCLA Medical Center during construction, May 24, 1952"
uclalsc_uars100_015_070,"Looking west at UCLA Medical Center during construction, May 4, 1952"
uclalsc_uars100_015_071,"Looking northeast at UCLA Medical Center during construction, May 10, 1952"
uclalsc_uars100_015_072,"UCLA Medical Center during construction, September 13, 1952"
uclalsc_uars100_015_073,"UCLA Medical Center during construction, September 27, 1952"
uclalsc_uars100_015_074,"UCLA Medical Center during construction, November 1, 1952"
uclalsc_uars100_015_075,"UCLA Medical Center during construction, November 1, 1952"
uclalsc_uars100_015_076,"Looking west from southeast corner at UCLA Medical Center during construction, November 30, 1952"
uclalsc_uars100_015_077,"Looking northeast from southwest corner at UCLA Medical Center during construction, November 30, 1952"
uclalsc_uars100_015_078,"Looking east at UCLA Medical Center during construction, May 10, 1952"
uclalsc_uars100_015_079,"Looking southeast at UCLA Medical Center during construction, May 10, 1952"
uclalsc_uars100_015_080,"Looking northwest at UCLA Medical Center during construction, May 10, 1952"
uclalsc_uars100_015_081,"Looking southwest at UCLA Medical Center during construction, May 10, 1952"
uclalsc_uars100_015_082,"Looking north at UCLA Medical Center during construction, May 10, 1952"
uclalsc_uars100_015_083,"Looking south at UCLA Medical Center during construction, May 10, 1952"
uclalsc_uars100_015_084,"Looking southwest at UCLA Medical Center during construction, September 22, 1951"
uclalsc_uars100_015_085,"Looking south from northeast corner at UCLA Medical Center during construction, September 22, 1951"
uclalsc_uars100_015_086,"Looking south from northwest corner of UCLA Medical Center during construction, September 15, 1951"
uclalsc_uars100_015_087,"Looking south from northeast corner of UCLA Medical Center during construction, September 15. 1951"
uclalsc_uars100_015_088,"Looking southwest at UCLA Medical Center during construction, March 29, 1952"
uclalsc_uars100_015_089,"Looking southeast at UCLA Medical Center during construction, March 29, 1952"
uclalsc_uars100_015_090,"Looking southwest at UCLA Medical Center during construction, March 16, 1952"
uclalsc_uars100_015_091,"Looking southeast at UCLA Medical Center during construction, March 16, 1952"
uclalsc_uars100_015_092,"Looking north at UCLA Medical Center during construction, May 31, 1952"
uclalsc_uars100_015_093,"Looking northwest at UCLA Medical Center during construction, May 31, 1952"
uclalsc_uars100_015_094,"Looking northwest at UCLA Medical Center during construction, June 8, 1952"
uclalsc_uars100_015_095,"Looking south at UCLA Medical Center during construction, June 14, 1952"
uclalsc_uars100_015_096,"Looking southwest at UCLA Medical Center during construction, May 31, 1952"
uclalsc_uars100_015_097,"Looking northeast at UCLA Medical Center during construction, May 31, 1952"
uclalsc_uars100_015_098,"Looking south at UCLA Medical Center during construction, May 31, 1952"
uclalsc_uars100_015_099,"Looking west at UCLA Medical Center during construction, May 31, 1952"
uclalsc_uars100_015_100,"Looking northeast from southwest corner of UCLA Medical Center during construction, November 30, 1952"
uclalsc_uars100_015_101,"Looking south from northeast corner of UCLA Medical Center during construction, November 30, 1952"
uclalsc_uars100_015_102,"Looking northeast at UCLA Medical Center during construction, November 8, 1952"
uclalsc_uars100_015_103,"Looking south at UCLA Medical Center during construction, November 8, 1952"
uclalsc_uars100_015_104,"Looking northwest at UCLA Medical Center during construction, May 4, 1952"
uclalsc_uars100_015_105,"UCLA Medical Center during construction, October 5, 1952"
uclalsc_uars100_015_106,"UCLA Medical Center during construction, October 5, 1952"
uclalsc_uars100_015_107,"UCLA Medical Center during construction, September 27, 1952"
uclalsc_uars100_015_108,"UCLA Medical Center during construction, September 27, 1952"
uclalsc_uars100_015_109,"UCLA Medical Center during construction, October 12, 1952"
uclalsc_uars100_015_110,"UCLA Medical Center during construction, October 12, 1952"
uclalsc_uars100_015_111,"Looking northwest at UCLA Medical Center during construction, October 12, 1952"
uclalsc_uars100_015_112,"UCLA Medical Center during construction, October 12, 1952"
uclalsc_uars100_015_113,"UCLA Medical Center during construction, September 27, 1952"
uclalsc_uars100_015_114,"UCLA Medical Center during construction, September 27, 1952"
uclalsc_uars100_015_115,"UCLA Medical Center during construction, November 1, 1952"
uclalsc_uars100_015_116,"UCLA Medical Center during construction, November 1, 1952"
uclalsc_uars100_015_117,"UCLA Medical Center during construction, October 12, 1952"
uclalsc_uars100_015_118,"UCLA Medical Center during construction, October 12, 1952"
uclalsc_uars100_015_119,"Looking southwest from northeast corner at UCLA Medical Center during construction, November 30, 1952"
uclalsc_uars100_015_120,"Looking east from southwest corner of UCLA Medical Center during construction, November 30, 1952"
uclalsc_uars100_015_121,"UCLA Medical Center during construction, October 5, 1952"
uclalsc_uars100_015_122,"UCLA Medical Center during construction, October 5, 1952"
uclalsc_uars100_015_123,"Looking southwest at UCLA Medical Center during construction, May 4, 1952"
uclalsc_uars100_015_124,"Looking southeast at UCLA Medical Center during construction, May 4, 1952"
uclalsc_uars100_015_125,"Looking west at UCLA Medical Center during construction, April 12, 1952"
uclalsc_uars100_015_126,"Looking southeast at UCLA Medical Center during construction, April 12, 1952"
uclalsc_uars100_015_127,"UCLA Medical Center during construction, November 1, 1952"
uclalsc_uars100_015_128,"UCLA Medical Center during construction, November 1, 1952"
uclalsc_uars100_015_129,"Looking north at UCLA Medical Center during construction, November 8, 1952"
uclalsc_uars100_015_130,"Looking west at UCLA Medical Center during construction, November 8, 1952"
uclalsc_uars100_015_131,UCLA Medical Center during construction
uclalsc_uars100_015_132,"UCLA Medical Center during construction, September 5, 1952"
uclalsc_uars100_015_133,"Looking down on northwest wind from south at UCLA Medical Center during construction, November 22, 1951"
uclalsc_uars100_015_134,"Looking down on northeast wing from north at UCLA Medical Center during construction, November 22, 1951"
uclalsc_uars100_015_135,"Looking north from southeast wing at UCLA Medical Center during construction, November 22, 1951"
uclalsc_uars100_015_136,"Looking north at UCLA Medical Center during construction, November 22, 1951"
uclalsc_uars100_015_137,"Looking south at UCLA Medical Center during construction, October 7, 1951"
uclalsc_uars100_015_138,"Looking west at UCLA Medical Center during construction, October 7, 1951"
uclalsc_uars100_015_139,"Looking north at UCLA Medical Center during construction, October 20, 1951"
uclalsc_uars100_015_140,"Looking west at UCLA Medical Center during construction, October 20, 1951"
uclalsc_uars100_015_141,"Looking south at UCLA Medical Center during construction, October 20, 1951"
uclalsc_uars100_015_142,"Looking northeast from southwest corner at UCLA Medical Center during construction, October 20, 1951"
uclalsc_uars100_015_143,"Looking south at UCLA Medical Center during construction, April 12, 1952"
uclalsc_uars100_015_144,"Looking north at UCLA Medical Center during construction, April 5, 1952"
uclalsc_uars100_015_145,"UCLA Medical Center during construction, October 5, 1952"
uclalsc_uars100_015_146,"UCLA Medical Center during construction, October 5, 1952"
uclalsc_uars100_015_147,"Looking south at UCLA Medical Center during construction, March 22, 1952"
uclalsc_uars100_015_148,"Looking north at UCLA Medical Center during construction, March 22, 1952"
uclalsc_uars100_015_149,"UCLA Medical Center during construction, September 20, 1952"
uclalsc_uars100_015_150,"UCLA Medical Center during construction, September 20, 1952"
uclalsc_uars100_015_151,"Looking north from southeast wing at UCLA Medical Center during construction, November 7, 1951"
uclalsc_uars100_015_152,"Looking east at UCLA Medical Center during construction, November 22, 1951"
uclalsc_uars100_015_153,"Looking east from southwest corner of UCLA Medical Center during construction, November 30, 1952"
uclalsc_uars100_015_154,"Looking north from southeast corner of UCLA Medical Center during construction, November 30, 1952"
uclalsc_uars100_015_155,"Looking northwest at UCLA Medical Center during construction, November 8, 1952"
uclalsc_uars100_015_156,"Looking southwest at UCLA Medical Center during construction, November 8, 1952"
uclalsc_uars100_015_157,"Looking north at UCLA Medical Center during construction, September 22, 1951"
uclalsc_uars100_015_158,"Looking east at UCLA Medical Center during construction, September 22, 1951"
uclalsc_uars100_015_159,"Looking down on northeast wing from south at UCLA Medical Center during construction, December 25, 1951"
uclalsc_uars100_015_160,"Looking south from northeast wing at UCLA Medical Center during construction, December 25, 1951"
uclalsc_uars100_015_161,"Looking down on northeast wing from south at UCLA Medical Center during construction, December 9, 1951"
uclalsc_uars100_015_162,"Looking down on northeast wing from east at UCLA Medical Center during construction, December 9, 1951"
uclalsc_uars100_015_163,"Looking west at UCLA Medical Center during construction, May 10, 1952"
uclalsc_uars100_015_164,"Looking west at UCLA Medical Center during construction, May 24, 1952"
uclalsc_uars100_015_165,"Looking west from north side of UCLA Medical Center during construction, September 15, 1951"
uclalsc_uars100_015_166,"Looking northwest at south side of UCLA Medical Center during construction, September 22, 1951"
uclalsc_uars100_015_167,"Looking west at UCLA Medical Center during construction, September 28, 1951"
uclalsc_uars100_015_168,"Looking east at UCLA Medical Center during construction, October 7, 1951"
uclalsc_uars100_015_169,"Looking west at UCLA Medical Center during construction, September 22, 1951"
uclalsc_uars100_015_170,"Looking south at UCLA Medical Center during construction, September 22, 1951"
uclalsc_uars100_015_171,"UCLA Medical Center during constrcution, December 14, 1952"
uclalsc_uars100_015_172,"UCLA Medical Center during construction, December 14, 1952"
uclalsc_uars100_015_173,"UCLA Medical Center during construction, November 1, 1952"
uclalsc_uars100_015_174,"UCLA Medical Center during construction, November 1, 1952"
uclalsc_uars100_015_175,"Looking north at UCLA Medical Center during construction, September 8, 1951"
uclalsc_uars100_015_176,"UCLA Medical Center during construction, September 8, 1951"
uclalsc_uars100_015_177,"Looking south at UCLA Medical Center during construction, September 28, 1951"
uclalsc_uars100_015_178,"Looking east at UCLA Medical Center during construction, September 28, 1951"
uclalsc_uars100_015_179,UCLA Medical Center during construction
uclalsc_uars100_015_180,"UCLA Medical Center during construction, December 14, 1952"
uclalsc_uars100_015_181,"UCLA Medical Center during construction, December 14, 1952"
uclalsc_uars100_015_182,"UCLA Medical Center during construction, October 12, 1952"
uclalsc_uars100_015_183,Sign of UCLA Medical Center during construction
uclalsc_uars100_015_184,"Looking southwest from northeast  corner of UCLA Medical Center during construction, October 20, 1951"
uclalsc_uars100_015_185,"Looking at east at UCLA Medical Center during construction, october 27, 1951"
uclalsc_uars100_015_191,UCLA Medical Center during construction
uclalsc_uars100_015_192,UCLA Medical Center during construction
uclalsc_uars100_015_193,UCLA Medical Center during construction
uclalsc_uars100_015_194,UCLA Medical Center during construction
uclalsc_uars100_015_195,UCLA Medical Center during construction
uclalsc_uars100_015_196,UCLA Medical Center during construction
uclalsc_uars100_015_197,UCLA Medical Center during construction
uclalsc_uars100_015_198,UCLA Medical Center during construction
uclalsc_uars100_015_199,UCLA Medical Center during construction
uclalsc_uars100_015_200,UCLA Medical Center during construction
uclalsc_uars100_015_201,UCLA Medical Center during construction
uclalsc_uars100_015_202,UCLA Medical Center during construction
uclalsc_uars100_015_203,UCLA Medical Center during construction
uclalsc_uars100_015_204,UCLA Medical Center during construction
uclalsc_uars100_015_206,UCLA Medical Center during construction
uclalsc_uars100_015_207,UCLA Medical Center during construction
uclalsc_uars100_015_208,UCLA Medical Center during construction
uclalsc_uars100_016_001,"Looking south at UCLA Medical Center during construction, February 16, 1952"
uclalsc_uars100_016_002,"Looking north at UCLA Medical Center during construction, February 16, 1952"
uclalsc_uars100_016_003,"Looking east at UCLA Medical Center during construction, February 16, 1952"
uclalsc_uars100_016_004,"Looking south at UCLA Medical Center during construction, March 2, 1952"
