FileName,ItemTitle
uclalsc_uars100_001_001,Exterior of the Harbor General Hospital
uclalsc_uars100_002_001,Model of the UCLA medical center
uclalsc_uars100_002_002,Labelled model of the UCLA medical center
uclalsc_uars100_002_003,Drawing of the UCLA medical center
uclalsc_uars100_002_004,Model of the three stories medical center
uclalsc_uars100_002_005,Labelled model of the UCLA medical center
uclalsc_uars100_002_006,Model of the UCLA medical center
uclalsc_uars100_002_007,Model of the UCLA medical center and surrounding driveway 
uclalsc_uars100_002_008,Model of the UCLA medical center and surrounding driveway 
uclalsc_uars100_002_009,Research and Development Laboratory model
uclalsc_uars100_002_010,Model of the UCLA medical center
uclalsc_uars100_002_011,Model of the UCLA medical center
uclalsc_uars100_002_012,Model of the UCLA medical center
uclalsc_uars100_002_013,Aerial of the model of the UCLA medical center
uclalsc_uars100_002_014,Aerial of the model of the UCLA medical center
uclalsc_uars100_002_016,UCLA medical center model
uclalsc_uars100_002_017,Architectural drawing of the UCLA medical center
uclalsc_uars100_002_018,Architectural drawing of the UCLA medical center
uclalsc_uars100_002_019,Architectural drawing of the UCLA medical center
uclalsc_uars100_002_020,Architectural drawing of the courtyard of the UCLA medical center
uclalsc_uars100_002_021,Architectural drawing of the entrance of the UCLA medical center
uclalsc_uars100_002_022,Architectural drawing of the UCLA medical center
uclalsc_uars100_002_023,Architectural drawing of the center for health sciences
uclalsc_uars100_002_024,Architectural drawing of the UCLA medical center
uclalsc_uars100_002_025,Plans of the UCLA medical center
uclalsc_uars100_003_001,Aerial of the UCLA Center for Health Sciences
uclalsc_uars100_003_002,"Site of construction for the UCLA Center of Health Sciences, c. 1951"
uclalsc_uars100_003_003,Aerial site of the UCLA Center for Health Sciences
uclalsc_uars100_003_004,"Construction of the UCLA Center for Health Sciences, c. 1953"
uclalsc_uars100_003_005,"Aerial of the construction of the UCLA medical center, December 16, 1952"
uclalsc_uars100_003_006,"Construction of the UCLA Center for Health Sciences, c. 1953"
uclalsc_uars100_003_007,"Construction of the UCLA medical center, February 24, 1954"
uclalsc_uars100_004_001,"Construction of part of the UCLA medical center, c. 1951"
uclalsc_uars100_004_002,"Construction site of the UCLA medical center, c. 1951"
uclalsc_uars100_004_003,"Construction site of the UCLA medical center, c. 1951"
uclalsc_uars100_004_004,"Construction site of the UCLA medical center, c. 1951"
uclalsc_uars100_004_005,"Construction site of the UCLA medical center, c. 1951"
uclalsc_uars100_004_007,"Part of the construction site of the UCLA medical center, c. 1951"
uclalsc_uars100_004_008,"Part of the construction site of the UCLA medical center, c. 1951"
uclalsc_uars100_004_009,"Part of the construction site of the UCLA medical center, c. 1951"
uclalsc_uars100_004_010,"Site of construction for the UCLA Center of Health Sciences, c. 1951"
uclalsc_uars100_004_011,"Part of the construction site of the UCLA medical center, c. 1951"
uclalsc_uars100_004_012,"Part of the construction site of the UCLA medical center, c. 1951"
uclalsc_uars100_004_013,"Building that will eventually turn into part of the UCLA medical center during construction, c. 1951"
uclalsc_uars100_004_014,"Workers unload equipment off a truck to assist in constructing the UCLA medical center, c. 1951"
uclalsc_uars100_004_015,"Building that will eventually turn into part of the UCLA medical center during construction, c. 1951"
uclalsc_uars100_004_017,"Building that is part of the medical center after construction, c. 1951"
uclalsc_uars100_004_018,"UCLA medical center after more construction has occurred with the surrounding parking lot with cars in it, c. 1951"
uclalsc_uars100_004_019,"Building that will eventually turn into part of the UCLA medical center during construction, c. 1951"
uclalsc_uars100_004_020,"Part of the construction site of the UCLA medical center, December 9, 191\"
uclalsc_uars100_004_021,"Barren construction site that will eventually turn into the UCLA medical center, December 9, 1951"
uclalsc_uars100_004_022,"Construction site of the UCLA medical center with some construction equipment in view, December 9, 1951"
uclalsc_uars100_004_023,"Part of the construction site as construction equipment works on it, December 9, 1951"
uclalsc_uars100_004_024,"Part of the construction site as construction begins for the UCLA medical center, December 25, 1951"
uclalsc_uars100_004_025,"View of the construction site for the UCLA medical center looking south, December 25, 1951"
uclalsc_uars100_004_026,"Construction of the UCLA medical center looking west, September 3, 1951"
uclalsc_uars100_004_027,"View of the construction site for the UCLA medical center looking south, January 27, 1952"
uclalsc_uars100_004_028,"View of the construction site of the medical school looking south, September 3, 1951"
uclalsc_uars100_004_029,"Northeast wing of the medical center looking south, January 27, 1952"
uclalsc_uars100_004_030,"Construction site of the medical school looking north, September 3, 1951"
uclalsc_uars100_004_031,"Entrance sign for the UCLA Medical Center, February 9, 1952"
uclalsc_uars100_004_032,"Construction sign for the UCLA medical center with cars parking in the dirt, c. 1951"
uclalsc_uars100_004_033,"Various shots of UCLA medical center buildings during construction, c. 1951"
uclalsc_uars100_004_034,"Construction for the UCLA medical center, c. 1951"
uclalsc_uars100_005_001,"Construction inspectors survey the construction site for the medical center, c. 1951"
uclalsc_uars100_005_002,"University architects Warren and Barker, c. 1951"
uclalsc_uars100_005_003," University Architects Robert Griffith, Chester Lewis, and Vernon Barker; Hospital administrators Russell Williams, Dean Warren, and Kenneth Eastman, making up the team of construction site investigators posing for a photo, c. 1951"
uclalsc_uars100_005_004," University Architects Robert Griffith, Chester Lewis, and Vernon Barker, Hospital administrators Russell Williams, Dean Warren, and Kenneth Eastman, hospital administrator making up the team of construction site investigators posing for a photo, c. 1951"
uclalsc_uars100_005_007,"Two members of the construction inspection team pose for a photo at the construction site of the UCLA medical center, c. 1951"
uclalsc_uars100_007_001,"Members of the medical school examine plans of the building as construction comes close to an end, 1959"
uclalsc_uars100_007_002,"Members of the medical school examine plans of the building as construction comes close to an end, 1959"
uclalsc_uars100_007_004,"Dirt mound on the construction site for the medical center, 1959"
uclalsc_uars100_007_005,"Medical Center after construction with carsparked around the center, 1959"
uclalsc_uars100_007_006,"Medical Center during construction, 1959"
uclalsc_uars100_007_007,"Medical Center during construction, 1959"
uclalsc_uars100_007_008,"Medical Center during construction, 1959"
uclalsc_uars100_007_009,"Medical Center during construction, 1959"
uclalsc_uars100_007_010,"Medical Center during construction, 1959"
uclalsc_uars100_007_011,"Medical Center during construction with cars parked nearby, 1959"
uclalsc_uars100_007_012,"Medical Center during construction with cars parked nearby, 1959"
uclalsc_uars100_007_013,"Worker lifts a piece of wood during the construction of the medical center, 1959"
uclalsc_uars100_007_014,"New paved drive way leading into the UCLA medical center during construction, 1959"
uclalsc_uars100_007_015,"Part of the UCLA medical center, closer to the end of construction, 1959"
uclalsc_uars100_007_016,"Part of the UCLA medical center, closer to the end of construction, 1959"
uclalsc_uars100_007_017,"New paved drive way leading into the UCLA medical center during construction, 1959"
uclalsc_uars100_007_018,"New paved drive way leading into the UCLA medical center during construction, 1959"
uclalsc_uars100_007_019,"UCLA medical center under construction, 1959"
uclalsc_uars100_007_020,"UCLA medical center closer to the finishing of construction with cars parked in the parking lot, 1959"
uclalsc_uars100_007_021,"Construction of the UCLA medical center, 1959"
uclalsc_uars100_007_022,"A finished UCLA medical center with a parking lot full of cars, 1960"
uclalsc_uars100_008_001,"A finished UCLA medical center with a parking lot full of cars, 1960"
uclalsc_uars100_008_002,"The finished UCLA medical center with work tracks parked in parking spots, 1960"
uclalsc_uars100_008_003,"The finished UCLA medical center with work tracks parked in parking spots, 1960"
uclalsc_uars100_008_004,"The UCLA medical center close to construction from the view of a dirt mound, c. 1960"
uclalsc_uars100_010_001,"The courtyyard area of the UCLA medical center during construction with work trucks and equipment in view, 1960"
uclalsc_uars100_010_002,"The UCLA medical center after construction completed with a full parking lot, 1960"
uclalsc_uars100_010_003,"UCLA medical center with the construction complete and a full parking lot, 1960"
uclalsc_uars100_010_004,"A completed UCLA medical center with cars parked in the street out front, 1962"
uclalsc_uars100_010_005,"A completed UCLA medical center with cars parked in the street out front, 1962"
uclalsc_uars100_010_006,"A completed UCLA medical center with cars parked in the street out front, 1962"
uclalsc_uars100_010_007,"UCLA medical center with dirt surrounding the place, 1962"
uclalsc_uars100_010_008,"A completed UCLA medical center with parks parked in the street out front, 1962"
uclalsc_uars100_010_009,"Part of the UCLA medical center under construction, 1962"
uclalsc_uars100_010_010,"A completed UCLA medical center, 1962"
uclalsc_uars100_010_011,"A completed UCLA medical center, 1962"
uclalsc_uars100_010_012,"Part of the UCLA medical center close to completion, still standing on dirt and with work trucks parked around it, 1962"
uclalsc_uars100_010_013,"A completed UCLA medical center with cars parked around it, 1962"
uclalsc_uars100_010_014,"UCLA medical center with cars parked in the parking lot, 1962"
uclalsc_uars100_010_015,"UCLA medical center with cars parked in the parking lot, 1962"
