Collection Number,File name,Folder Number,Folder Title,Item Title,Text on Back of Photo,notes,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_002_020,2,Medical Center  Architectural drawings and models,Architectural drawing of the courtyard of the UCLA medical center,University Archives ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_002_021,2,Medical Center  Architectural drawings and models,Architectural drawing of the entrance of the UCLA medical center,214052  643  C.U.B. Hamilton,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_002_022,2,Medical Center  Architectural drawings and models,Architectural drawing of the UCLA medical center,Use full depth  Health Sciences  6479/1,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_002_023,2,Medical Center  Architectural drawings and models,Architectural drawing of the center for health sciences,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_002_024,2,Medical Center  Architectural drawings and models,Architectural drawing of the UCLA medical center,"Photographic Service University of California Library Los Angeles 24, Calif., USA",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_002_025,2,Medical Center  Architectural drawings and models,Plans of the UCLA medical center,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_001,3,"Medical Center  Construction, 1951-",Aerial of the UCLA Center for Health Sciences,center for Health Sciences c.1952,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_002,3,"Medical Center  Construction, 1951-","Site of construction for the UCLA Center of Health Sciences, c. 1951",UCLA Center for Health Sciences construction site c.1951,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_003,3,"Medical Center  Construction, 1951-",Aerial site of the UCLA Center for Health Sciences,Ray Cizerls asve,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_004,3,"Medical Center  Construction, 1951-","Construction of the UCLA Center for Health Sciences, c. 1953",Center for Health Sciences c.1953,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_005,3,"Medical Center  Construction, 1951-","Aerial of the construction of the UCLA medical center, December 16, 1952","10-27-52 Date Taken  Steel Erection completed Dec. 16, 1952",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_006,3,"Medical Center  Construction, 1951-","Construction of the UCLA Center for Health Sciences, c. 1953","University of California Atomic Energy Project P.O. Box 4164 W. Los Angeles 24, California  5/3/53",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_003_007,3,"Medical Center  Construction, 1951-","Construction of the UCLA medical center, February 24, 1954","Medical Center (under construction)  February 24, 1954  U.C.L.A. Photo by Stan Troutman ASUCLA Photo Department 402 Westwood Blvd. Los Angeles 24, Calif.  This Picture is Furnished to You for Your Publication Only and Must Not be Used for Advertising Purposes. By Accepting this Picture You Agree to Hold the  Associated Students, U.C.L.A. Harmless from Any Loss or Damage Arising by Reason of Your Use or Publication of this Picture. ",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_001,4,"Medical Center Construction, 1951-","Construction of part of the UCLA medical center, c. 1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_002,4,"Medical Center Construction, 1951-","Construction site of the UCLA medical center, c. 1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_003,4,"Medical Center Construction, 1951-","Construction site of the UCLA medical center, c. 1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_004,4,"Medical Center Construction, 1951-","Construction site of the UCLA medical center, c. 1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_005,4,"Medical Center Construction, 1951-","Construction site of the UCLA medical center, c. 1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_007,4,"Medical Center Construction, 1951-","Part of the construction site of the UCLA medical center, c. 1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_008,4,"Medical Center Construction, 1951-","Part of the construction site of the UCLA medical center, c. 1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_009,4,"Medical Center Construction, 1951-","Part of the construction site of the UCLA medical center, c. 1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_010,4,"Medical Center Construction, 1951-","Site of construction for the UCLA Center of Health Sciences, c. 1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_011,4,"Medical Center Construction, 1951-","Part of the construction site of the UCLA medical center, c. 1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_012,4,"Medical Center Construction, 1951-","Part of the construction site of the UCLA medical center, c. 1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_013,4,"Medical Center Construction, 1951-","Building that will eventually turn into part of the UCLA medical center during construction, c. 1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_014,4,"Medical Center Construction, 1951-","Workers unload equipment off a truck to assist in constructing the UCLA medical center, c. 1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_015,4,"Medical Center Construction, 1951-","Building that will eventually turn into part of the UCLA medical center during construction, c. 1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_017,4,"Medical Center Construction, 1951-","Building that is part of the medical center after construction, c. 1951",BB,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_018,4,"Medical Center Construction, 1951-","UCLA medical center after more construction has occurred with the surrounding parking lot with cars in it, c. 1951",V,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_019,4,"Medical Center Construction, 1951-","Building that will eventually turn into part of the UCLA medical center during construction, c. 1951",Q,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_020,4,"Medical Center Construction, 1951-","Part of the construction site of the UCLA medical center, December 9, 191\","12/91  [DEC. 9, 1951]  [Looking North]  11",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_021,4,"Medical Center Construction, 1951-","Barren construction site that will eventually turn into the UCLA medical center, December 9, 1951","12/   [Dec. 9, 1951] [Looking South]  11",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_022,4,"Medical Center Construction, 1951-","Construction site of the UCLA medical center with some construction equipment in view, December 9, 1951","12/  11  [Dec. 9, 1951] [Looking West]",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_023,4,"Medical Center Construction, 1951-","Part of the construction site as construction equipment works on it, December 9, 1951","12/9  11 [Dec. 9, 1951] [Looking East]",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_024,4,"Medical Center Construction, 1951-","Part of the construction site as construction begins for the UCLA medical center, December 25, 1951",12/25/51  [Looking West]  427,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_025,4,"Medical Center Construction, 1951-","View of the construction site for the UCLA medical center looking south, December 25, 1951",12/25/51  [Looking South],,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_026,4,"Medical Center Construction, 1951-","Construction of the UCLA medical center looking west, September 3, 1951",Med School looking W. Sept 3  1951  #3 -28 13,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_027,4,"Medical Center Construction, 1951-","View of the construction site for the UCLA medical center looking south, January 27, 1952",1/27/52  [Looking South]  373,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_028,4,"Medical Center Construction, 1951-","View of the construction site of the medical school looking south, September 3, 1951","Med School - looking S.  Sept. 3, 1951  #4 - 29  13",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_029,4,"Medical Center Construction, 1951-","Northeast wing of the medical center looking south, January 27, 1952",1/27/52  [Looking South From NE Wing]  373 ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_030,4,"Medical Center Construction, 1951-","Construction site of the medical school looking north, September 3, 1951",Med School - looking N.   Sept 3 '51  #2  - 27  655,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_031,4,"Medical Center Construction, 1951-","Entrance sign for the UCLA Medical Center, February 9, 1952",2/9/52   395,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_032,4,"Medical Center Construction, 1951-","Construction sign for the UCLA medical center with cars parking in the dirt, c. 1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_033,4,"Medical Center Construction, 1951-","Various shots of UCLA medical center buildings during construction, c. 1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_004_034,4,"Medical Center Construction, 1951-","Construction for the UCLA medical center, c. 1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_005_001,5,"Medical Center Construction inspection, 1951- ","Construction inspectors survey the construction site for the medical center, c. 1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_005_002,5,"Medical Center Construction inspection, 1951- ","University architects Warren and Barker, c. 1951",S. Warren - Verre Barker  Univ. Archt. ,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_005_003,5,"Medical Center Construction inspection, 1951- "," University Architects Robert Griffith, Chester Lewis, and Vernon Barker; Hospital administrators Russell Williams, Dean Warren, and Kenneth Eastman, making up the team of construction site investigators posing for a photo, c. 1951","Dec. 1, 1952  Official Inspection Team  L to R  Robert Griffith, Chester Lewis + Vernon Barker of University Architects Office; Russell Williams, Hospital Administration; Dean Warren.  Behind: Kenneth Eastman, hospital administrator",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_005_004,5,"Medical Center Construction inspection, 1951- "," University Architects Robert Griffith, Chester Lewis, and Vernon Barker, Hospital administrators Russell Williams, Dean Warren, and Kenneth Eastman, hospital administrator making up the team of construction site investigators posing for a photo, c. 1951",Medical center. Construction inspection (1952 Dec),,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_005_007,5,"Medical Center Construction inspection, 1951- ","Two members of the construction inspection team pose for a photo at the construction site of the UCLA medical center, c. 1951",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_007_001,7,"Medical Center construction, 1959","Members of the medical school examine plans of the building as construction comes close to an end, 1959","University of California, Los Angeles  Visual Aids Dept.  Medical School  Order No. 4442-8  Neg. No.",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_007_002,7,"Medical Center construction, 1959","Members of the medical school examine plans of the building as construction comes close to an end, 1959","University of California, Los Angeles  Visual Aids Dept.  Medical School  Order No. 4442-8  Neg. No.",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_007_004,7,"Medical Center construction, 1959","Dirt mound on the construction site for the medical center, 1959","University of California, Los Angeles  Visual Aids Dept.  Medical School  Order No. 5031-8  Neg. No.",,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_007_005,7,"Medical Center construction, 1959","Medical Center after construction with carsparked around the center, 1959",scanned 2/10/05  Med Cntr (Hospital) Const. c. 1954,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_007_006,7,"Medical Center construction, 1959","Medical Center during construction, 1959",1959-08-24 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_007_007,7,"Medical Center construction, 1959","Medical Center during construction, 1959",1959-05-13 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_007_008,7,"Medical Center construction, 1959","Medical Center during construction, 1959",1959-08-24 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_007_009,7,"Medical Center construction, 1959","Medical Center during construction, 1959",1959-05-18 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_007_010,7,"Medical Center construction, 1959","Medical Center during construction, 1959",1959-07-21 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_007_011,7,"Medical Center construction, 1959","Medical Center during construction with cars parked nearby, 1959",1959-08-24 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_007_012,7,"Medical Center construction, 1959","Medical Center during construction with cars parked nearby, 1959",1959-05-18 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_007_013,7,"Medical Center construction, 1959","Worker lifts a piece of wood during the construction of the medical center, 1959",1959-07-21 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_007_014,7,"Medical Center construction, 1959","New paved drive way leading into the UCLA medical center during construction, 1959",1959-07-21 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_007_015,7,"Medical Center construction, 1959","Part of the UCLA medical center, closer to the end of construction, 1959",1959-08-24 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_007_016,7,"Medical Center construction, 1959","Part of the UCLA medical center, closer to the end of construction, 1959",1959-08-24 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_007_017,7,"Medical Center construction, 1959","New paved drive way leading into the UCLA medical center during construction, 1959",1959-07-21 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_007_018,7,"Medical Center construction, 1959","New paved drive way leading into the UCLA medical center during construction, 1959",1959-07-21 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_007_019,7,"Medical Center construction, 1959","UCLA medical center under construction, 1959",1959-07-21 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_007_020,7,"Medical Center construction, 1959","UCLA medical center closer to the finishing of construction with cars parked in the parking lot, 1959",1959-11-05 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_007_021,7,"Medical Center construction, 1959","Construction of the UCLA medical center, 1959",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_007_022,7,"Medical Center construction, 1959","A finished UCLA medical center with a parking lot full of cars, 1960",1959-11-05 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_008_001,8,"Medical Center construction, 1960","A finished UCLA medical center with a parking lot full of cars, 1960",1960-09-07 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_008_002,8,"Medical Center construction, 1960","The finished UCLA medical center with work tracks parked in parking spots, 1960",1960-09-07 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_008_003,8,"Medical Center construction, 1960","The finished UCLA medical center with work tracks parked in parking spots, 1960",1960-09-07 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_008_004,8,"Medical Center construction, 1960","The UCLA medical center close to construction from the view of a dirt mound, c. 1960",1960-09-07 0:00:00,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_010_001,10,"Medical Center Construction, 1962","The courtyyard area of the UCLA medical center during construction with work trucks and equipment in view, 1960",,,,,,,,,,,,,,,,,,,,,,,,,,,,
RS100,uclalsc_uars100_010_002,10,"Medical Center Construction, 1962","The UCLA medical center after construction completed with a full parking lot, 1960",,,,,,,,,,,,,,,,,,,,,,,,,,,,
